ID,Question
Q3,Compared with other team members that I work with I expect to do well.
Q4,I'm certain I can understand the ideas being taught by my faculty mentor.
Q5,I expect to do very well in the work I do with my faculty mentor.
Q6,"Compared with others on this team, I think I am a good scientist."
Q7,I am sure I can do an excellent job on the problems and tasks assigned by my faculty mentor.
Q8,I think my faculty mentor will be pleased with my work.
Q9,The skills I use on this project are excellent compared to the other team members I work with.
Q10,Compared with other team members I think I know a great deal about my field of study.
Q11,I know that I will be able to learn the material required to conduct my research project.
Q12,I prefer research that is challenging so I can learn new things.
Q13,It is important for me to learn what is being taught by my faculty mentor.
Q14,I like what I am learning from working on my research project.
Q15,I think I will be able to use what I am learning from my research in other classes or on other projects.
Q16,I often choose difficult tasks that I will learn something from even if they require more work.
Q17,Even when I do poorly on a task I try to learn from my mistakes.
Q18,I think that what I am learning from my research project is useful for me to know.
Q19,I think that what I am learning from my research project is interesting.
Q20,Understanding my research is important to me.
Q21,"When I explain my research, I try to put together information from the literature and my own research project."
Q22,It is hard for me to decide what the main ideas are in my research project.
Q23,"When I work on my research project, I put important ideas into my own words."
Q24,I always try to understand what the faculty mentor is saying even if it doesn't make sense.
Q25,"When I prepare to discuss my research (presentation, lab meting, meeting with my advisor) I practice saying the important facts
over and over to myself."
Q26,I use what I have learned from past experiences and the literature to work on my research project.
Q27,"When I am studying a topic, I try to make everything fit
together."
Q28,"When reading I try to connect the things I am reading about
with what I already know."
Q29,I ask myself questions to make sure I know the material I have been studying in my research project.
Q30,When work is hard I either give up or focus on only the easy parts.
Q31,"Even when my work is dull and uninteresting, I keep working until I finish."
Q32,Before I begin working I think about the things I will need to do in order to be successful.
Q33,"For my project(s), I often find that I have been reading the literature but don't know what it is all about."
Q34,I find that when my faculty mentor is talking I think of other things and don't really listen to what is being said.
Q35,"When I'm reading the literature for my research project(s), I stop once in a while and go over what I have read."
Q36,I work hard to do well even when I don't like the task I have been asked to complete.
Q37,I work on research tasks even when I don't have to.
